date,Open,High,Low,close,Adj_Close,Volume
2008-10-27,13.581429,16.027143,13.122857,15.370000,13.621751,2022932100
2008-11-03,15.132857,15.970000,13.674286,14.034286,12.437966,1531850600
2008-11-10,14.310000,14.342857,12.288571,12.891429,11.425105,1696672600
2008-11-17,12.640000,13.082857,11.305715,11.797143,10.455286,1707552000
2008-11-24,12.172857,13.607142,12.120000,13.238571,11.732760,968790200
2008-12-01,13.042857,13.747143,12.357142,13.428572,11.901148,1386583800
2008-12-08,13.897142,14.800000,13.218572,14.038571,12.441764,1352119300
2008-12-15,13.712857,13.782857,12.574286,12.857142,11.394715,1234615200
2008-12-22,12.860000,12.861428,12.078571,12.258572,10.864227,514857700
2008-12-29,12.360000,13.005714,12.102858,12.964286,11.489671,751789500
2009-01-05,13.310000,13.881429,12.862857,12.940000,11.468150,1111078500
2009-01-12,12.922857,12.998571,11.435715,11.761429,10.423635,1329259400
2009-01-19,11.704286,12.857142,11.171429,12.622857,11.187080,1045620800
2009-01-26,12.694285,13.571428,12.614285,12.875714,11.411176,853972700
2009-02-02,12.728572,14.285714,12.700000,14.245714,12.625346,850608500
2009-02-09,14.285714,14.714286,13.681429,14.165714,12.554445,916302800
2009-02-16,13.838572,13.862857,12.714286,13.028571,11.546645,759034500
2009-02-23,13.092857,13.274285,12.358571,12.758572,11.307357,940916900
2009-03-02,12.588572,13.252857,11.761429,12.185715,10.799662,988680000
2009-03-09,12.025714,13.885715,11.795714,13.704286,12.145500,939638700
2009-03-16,13.790000,14.782857,13.454286,14.512857,12.862102,893923800
2009-03-23,14.672857,15.711429,14.535714,15.264286,13.528061,765688000
2009-03-30,14.930000,16.590000,14.658571,16.570000,14.685257,777714000
2009-04-06,16.420000,17.142857,16.182858,17.081429,15.138514,545258000
2009-04-13,17.144285,17.750000,16.537144,17.631428,15.625950,586920600
2009-04-20,17.389999,18.171429,16.942858,17.700001,15.686729,840459900
2009-04-27,17.557142,18.278572,17.522858,18.177143,16.109594,572665800
2009-05-04,18.320000,19.071428,18.037144,18.455715,16.356487,620223100
2009-05-11,18.195715,18.708570,17.054285,17.488571,15.499349,606376400
2009-05-18,17.675714,18.472857,17.367144,17.500000,15.509477,481448100
2009-05-25,17.822857,19.414286,17.792856,19.401428,17.194626,556859100
2009-06-01,19.495714,20.914286,19.428572,20.667143,18.316374,664318200
2009-06-08,20.545713,20.651428,19.434286,19.567142,17.341492,846287400
2009-06-15,19.430000,19.928572,19.218571,19.925714,17.659285,693876400
2009-06-22,20.095715,20.508572,18.982857,20.348572,18.034039,713951000
2009-06-29,20.494286,20.665714,19.969999,20.002857,17.727648,446624500
2009-07-06,19.814285,19.954287,19.202858,19.788572,17.537737,581128800
2009-07-13,19.934286,21.717142,19.647142,21.678572,19.212759,578015200
2009-07-20,21.895714,22.857143,21.392857,22.855715,20.256012,862434300
2009-07-27,22.881428,23.571428,22.465714,23.341429,20.686476,517791400
2009-08-03,23.601429,23.912857,23.298571,23.644285,20.954887,485551500
2009-08-10,23.665714,24.095715,23.125713,23.825714,21.115675,461626200
2009-08-17,23.364286,24.195715,22.774286,24.174286,21.424595,531727700
2009-08-24,24.302856,24.641428,23.547142,24.292856,21.529686,484541400
2009-08-31,24.022858,24.385714,23.444286,24.330000,21.562601,453299700
2009-09-07,24.711428,24.924286,24.242857,24.594286,21.796825,491557500
2009-09-14,24.404285,26.684286,24.321428,26.431429,23.425005,728665000
2009-09-21,26.327143,26.985714,25.920000,26.052856,23.089489,596038100
2009-09-28,26.267143,26.771429,25.814285,26.414286,23.409815,575108800
2009-10-05,26.600000,27.350000,26.324286,27.209999,24.115017,556342500
2009-10-12,27.288572,27.474285,26.834286,26.864286,23.808634,454134800
2009-10-19,26.835714,29.815714,26.507143,29.134285,25.820433,1122293900
2009-10-26,29.095715,29.535715,26.881428,26.928572,23.865601,836768100
2009-11-02,27.114286,27.884285,26.510000,27.762857,24.604996,592238500
2009-11-09,28.134285,29.285715,28.037144,29.207144,25.884998,520223200
2009-11-16,29.354286,29.714285,28.251429,28.559999,25.311466,551258400
2009-11-23,29.000000,29.428572,28.338572,28.655714,25.396292,343761600
2009-11-30,28.730000,28.967142,27.182858,27.617144,24.475849,720371400
2009-12-07,27.617144,28.528572,26.954287,27.809999,24.646772,752346000
2009-12-14,27.910000,28.215714,27.285715,27.918571,24.742996,566461000
2009-12-21,28.007143,29.907143,27.952858,29.862858,26.466131,451959200
2009-12-28,30.245714,30.564285,29.758572,30.104286,26.680096,463566600
2010-01-04,30.490000,30.798571,29.864286,30.282858,26.838356,643134100
2010-01-11,30.400000,30.428572,29.157143,29.418571,26.072376,672385700
2010-01-18,29.761429,30.792856,28.165714,28.250000,25.036724,708020600
2010-01-25,28.930000,30.530001,27.178572,27.437143,24.316326,1768708200
2010-02-01,27.481428,28.600000,27.264286,27.922857,24.746792,917876400
2010-02-08,27.955715,28.805714,27.714285,28.625713,25.369703,671833400
2010-02-15,28.848572,29.187143,28.694286,28.809999,25.533033,454607300
2010-02-22,28.905714,29.309999,27.958570,29.231428,25.906523,649702900
2010-03-01,29.392857,31.385714,29.350000,31.278572,27.720818,688588600
2010-03-08,31.430000,32.532856,31.127142,32.371429,28.689367,692097700
2010-03-15,32.197144,32.349998,31.464285,31.750000,28.138622,573230700
2010-03-22,31.495714,33.135715,31.450001,32.985714,29.233780,709947700
2010-03-29,33.285713,34.104286,33.088570,33.709999,29.875681,525464800
2010-04-05,33.568573,34.560001,33.538570,34.541428,30.612543,666799700
2010-04-12,34.599998,35.877144,34.444286,35.342857,31.322824,542661000
2010-04-19,35.290001,38.882858,34.538570,38.689999,34.289246,969505600
2010-04-26,38.840000,38.922855,36.630001,37.298573,33.056076,762029800
2010-05-03,37.691429,38.268570,28.464285,33.694286,29.861755,1255786000
2010-05-10,35.750000,37.857143,35.504284,36.259998,32.135639,961667000
2010-05-17,36.385715,36.935715,33.049999,34.617142,30.679644,1269511600
2010-05-24,35.325714,37.057144,33.880001,36.697144,32.523060,1033699100
2010-05-31,37.098572,37.991428,36.375713,36.565716,32.406574,743358000
2010-06-07,36.898571,37.021427,34.599998,36.215714,32.096386,1016114400
2010-06-14,36.565716,39.285713,36.287144,39.152859,34.699448,907297300
2010-06-21,39.669998,39.858570,37.972858,38.099998,33.766338,881607300
2010-06-28,38.132858,38.535713,34.742859,35.277142,31.264568,1043620900
2010-07-05,35.857143,37.557144,35.165714,37.088570,32.869972,610314600
2010-07-12,36.932858,37.407143,35.204285,35.700001,31.639339,1107643600
2010-07-19,35.697144,37.878571,34.228573,37.134285,32.910473,1115951900
2010-07-26,37.142857,37.998573,36.414288,36.750000,32.569897,654331300
2010-08-02,37.205715,37.754284,36.804287,37.155716,32.929466,500019800
2010-08-09,37.354286,37.450001,35.160000,35.585712,31.538038,566223000
2010-08-16,35.368572,36.381428,35.231430,35.662857,31.606419,472925600
2010-08-23,35.970001,36.000000,33.651428,34.517143,30.591021,657092800
2010-08-30,34.394287,36.968571,34.335712,36.967144,32.762356,609332500
2010-09-06,36.662857,38.074287,36.607143,37.630001,33.349808,423806600
2010-09-13,37.974285,39.708572,37.931427,39.338570,34.864040,628219900
2010-09-20,39.439999,41.932858,39.407143,41.759998,37.010033,836911600
2010-09-27,41.997143,42.104286,39.285713,40.360001,35.769287,777263900
2010-10-04,40.228573,42.071430,39.681427,42.009998,37.231598,668735200
2010-10-11,42.105713,45.000000,41.784286,44.962856,39.848583,743470000
2010-10-18,45.495716,45.571430,42.860001,43.924286,38.928150,992914300
2010-10-25,44.155716,44.514286,42.981430,42.997143,38.106464,541489200
2010-11-01,43.174286,45.740002,43.171429,45.304287,40.151188,592477200
2010-11-08,45.314285,45.900002,43.375713,44.004284,38.999046,551665100
2010-11-15,44.065716,44.362858,42.537144,43.818573,38.834469,605010000
2010-11-22,43.811428,45.385715,43.695713,45.000000,39.881516,390958400
2010-11-29,45.071430,45.571430,44.410000,45.348572,40.190437,553581000
2010-12-06,45.520000,46.284286,45.301430,45.794285,40.585457,429633400
2010-12-13,46.338570,46.437141,45.571430,45.801430,40.591789,479273900
2010-12-20,45.942856,46.531429,45.461430,46.228573,40.970348,282760800
2010-12-27,46.121429,46.665714,45.901428,46.080002,40.838676,234970400
2011-01-03,46.520000,48.049999,46.405716,48.017143,42.555470,405524700
2011-01-10,48.404285,49.782856,48.167141,49.782856,44.120350,450219700
2011-01-17,47.074287,49.799999,46.571430,46.674286,41.365353,1133950300
2011-01-24,46.695713,49.371429,46.674286,48.014286,42.552940,626377500
2011-01-31,47.971428,49.528572,47.757141,49.500000,43.869663,444618300
2011-02-07,49.698570,51.428570,49.662857,50.978573,45.180054,661232600
2011-02-14,50.970001,52.128571,49.931427,50.080002,44.383694,605597300
2011-02-21,48.878571,49.775715,48.245716,49.737144,44.079834,606082400
2011-02-28,50.177143,51.470001,49.668571,51.428570,45.578861,603964200
2011-03-07,51.628571,51.667141,49.271427,50.284286,44.564735,583591400
2011-03-14,50.454285,50.925713,46.608570,47.238571,41.865459,932921500
2011-03-21,47.998573,50.294285,47.894287,50.220001,44.507763,490485800
2011-03-28,50.450001,50.617142,49.042858,49.222858,43.624039,421085700
2011-04-04,49.187141,49.228573,47.707142,47.865715,42.421265,524084400
2011-04-11,47.722858,48.020000,46.685715,46.779999,41.459042,481553100
2011-04-18,46.585712,50.732857,45.737144,50.099998,44.401413,620938500
2011-04-25,50.048573,50.712856,49.360001,50.018570,44.329247,582215900
2011-05-02,49.962856,50.261429,49.357143,49.522858,43.889919,440353900
2011-05-09,49.694286,50.000000,48.621429,48.642857,43.110012,367738700
2011-05-16,48.457142,48.915714,47.247143,47.888573,42.441509,459006100
2011-05-23,47.138573,48.365715,47.060001,48.201427,42.718788,356477800
2011-05-30,48.728573,50.304287,48.714287,49.062859,43.482239,406117600
2011-06-06,49.385715,49.578571,46.501427,46.557144,41.261547,508623500
2011-06-13,46.742859,47.607143,45.475716,45.751427,40.547474,547212400
2011-06-20,45.337143,47.592857,44.357143,46.621429,41.318512,631044400
2011-06-27,46.798573,49.071430,46.750000,49.037144,43.459450,436231600
2011-07-04,49.000000,51.428570,48.928570,51.387142,45.542156,422244200
2011-07-11,50.905716,52.142857,49.802856,52.131428,46.201782,550230800
2011-07-18,52.204285,56.610001,52.182858,56.185715,49.794910,844100600
2011-07-25,55.764286,57.785713,54.857143,55.782856,49.437874,738082800
2011-08-01,56.825714,57.071430,51.795715,53.374287,47.303272,1015220500
2011-08-08,51.669998,54.234287,50.431427,53.855713,47.729946,1094004800
2011-08-15,54.232857,54.995716,50.857143,50.861427,45.076233,757169700
2011-08-22,52.072857,54.828571,50.727142,54.797142,48.564278,832810300
2011-08-29,55.454285,56.011429,53.118572,53.435715,47.357708,532110600
2011-09-05,52.481430,55.515713,52.354286,53.925713,47.791973,460311600
2011-09-12,53.285713,57.214287,53.128571,57.214287,50.706490,639862300
2011-09-19,56.714287,60.408573,56.457142,57.757141,51.187603,930087200
2011-09-26,57.122856,58.464287,54.454285,54.474285,48.278152,768434800
2011-10-03,54.338570,54.968571,50.605713,52.828571,46.819630,1009321600
2011-10-10,54.155716,60.285713,54.029999,60.285713,53.428570,667510200
2011-10-17,60.248573,60.957142,55.821430,56.124287,49.740475,960555400
2011-10-24,56.597141,58.428570,56.164288,57.849998,51.269901,551594400
2011-10-31,57.488571,58.475716,56.174286,57.177143,50.673569,497064400
2011-11-07,57.130001,58.285713,54.322857,54.945713,48.695946,656985000
2011-11-14,54.788570,55.877144,53.554287,53.562859,47.470387,516191200
